lifestage.feeding intercept slope r.squared f.statistic p.value
adult_piscivorous 3.04230934042685 0.285409207488918 0.0762549666793181 1460.96633985589 3.21527852225161e-307
adult_planktivorous 3.87815102648538 0.802761886290888 0.224199133583999 45.0825287172978 3.31771921399377e-10
adult_predacious 3.35636234035414 0.321994355406031 0.146129065719437 1356.94671825977 2.36661210560614e-274
adult_predacious/piscivorous 2.07757273211364 0.531028610582126 0.341154098535761 82.3310906945516 4.19117303972479e-16
juvenile_piscivorous 3.78759705139129 0.223480124508157 0.0715818776775037 233.384440178493 8.16786748022045e-51
juvenile_planktivorous 1.13499506432389 0.168911383542264 1 NA NA
juvenile_predacious 3.56638090670243 1.06701767698146 0.764901236206758 6832.41617317414 0
larva / juvenile_insectivorous 1.56360275195807 0.384249046154571 0.125577629410638 4.3083628793485 0.0465944025225443
larva / juvenile_piscivorous 2.15727970672255 0.652630804441673 0.502262057547569 9.08180416316188 0.0146301686798565
larva / juvenile_planktivorous 2.20757509090594 0.537539976546298 0.2383099678989 36.9186611704769 1.55071505486171e-08
larva / juvenile_predacious 3.62003726076665 0.88497494533547 0.4903774538179 466.684739290751 5.25353664045713e-73
larva_planktivorous 0.526058856598812 0.431885598103511 0.184732831348562 231.803381438971 2.46433635713708e-47
larva_predacious 0.621931166248396 0.323614384510346 0.114146688218641 155.914631584789 9.61358023701768e-34
postlarva_piscivorous -1.09766442150068 0.106773528674381 0.0389698693052271 1.25705314524184 0.270820006991042
postlarva_predacious -0.700843567967422 0.15403834606651 0.109207422360888 8.58170550266892 0.00458060708606846
postlarva/juvenile_piscivorous 0.105293012452578 NA 0 NA NA
postlarva/juvenile_planktivorous 2.95889440474229 0.675479706794877 0.23123878538831 78.8080363840143 1.1059066717424e-16
postlarva/juvenile_predacious 0.846289447673095 0.232955400394708 0.144074981970457 98.9760640408158 1.17383192983121e-21
