"Time","y_t","Species","Temp","Medium","unique_id","PopBio_units"
286.746987951807,-0.244460498110549,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
263.855421686747,-0.237830262708484,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
238.55421686747,-0.232582975014879,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
214.457831325301,-0.233823250002299,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
190.361445783132,-0.254982731374441,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
167.469879518072,-0.253574558022953,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
142.168674698795,-0.25896770291344,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
118.072289156626,-0.297602224221293,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
93.9759036144578,-0.377978357285355,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
69.8795180722891,-0.512042002502378,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
46.9879518072289,-0.706986928400692,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
22.8915662650603,-1.14755422378516,"Enterobacter.sp.",5,"TSB","Enterobacter.sp. 5 TSB","OD_595"
671.084337349398,-0.372533591756922,"Pantoea.agglomerans.1",5,"TSB","Pantoea.agglomerans.1 5 TSB","OD_595"
646.987951807229,-0.361907473245924,"Pantoea.agglomerans.1",5,"TSB","Pantoea.agglomerans.1 5 TSB","OD_595"
622.89156626506,-0.354942245758767,"Pantoea.agglomerans.1",5,"TSB","Pantoea.agglomerans.1 5 TSB","OD_595"
600,-0.346410125140807,"Pantoea.agglomerans.1",5,"TSB","Pantoea.agglomerans.1 5 TSB","OD_595"
574.698795180723,-0.34133821606566,"Pantoea.agglomerans.1",5,"TSB","Pantoea.agglomerans.1 5 TSB","OD_595"
551.807228915663,-0.344602221583518,"Pantoea.agglomerans.1",5,"TSB","Pantoea.agglomerans.1 5 TSB","OD_595"
527.710843373494,-0.34120843090091,"Pantoea.agglomerans.1",5,"TSB","Pantoea.agglomerans.1 5 TSB","OD_595"
503.614457831325,-0.324882534379032,"Pantoea.agglomerans.1",5,"TSB","Pantoea.agglomerans.1 5 TSB","OD_595"
479.518072289157,-0.328021510548719,"Pantoea.agglomerans.1",5,"TSB","Pantoea.agglomerans.1 5 TSB","OD_595"
